origem;destino;custo;tempo
SBEG;SWCA;;
SBEG;SWKO;;
SBEG;SWHT;;
SBEG;SWLB;;
SBEG;SBEG;;
SBEG;SBMY;;
SBEG;SBFE;;
SBEG;SBLE;;
SBEG;SBUF;;
SBEG;SNTF;;
SBEG;SBBH;;
SBEG;SBZM;;
SBEG;SNPD;;
SBEG;SBDB;;
SBEG;SBDO;;
SBEG;SBTG;;
SBEG;SBTB;;
SBEG;SBTU;;
SBEG;SBPB;;
SBEG;SBCP;;
SBEG;SBME;;
SBEG;SBNT;;
SBEG;SBCM;;
SBEG;SBAQ;;
SBEG;SBAE;;
SBEG;SBSJ;;
SBSV;SWKO;;
SBSV;SWEI;;
SBSV;SWPI;;
SBSV;SBUA;;
SBSV;SBTF;;
SBSV;SBFE;;
SBSV;SBLE;;
SBSV;SBUF;;
SBSV;SBSV;;
SBSV;SNTF;;
SBSV;SNVB;;
SBSV;SBAX;;
SBSV;SBBH;;
SBSV;SBZM;;
SBSV;SNPD;;
SBSV;SBDB;;
SBSV;SBDO;;
SBSV;SBTG;;
SBSV;SBIH;;
SBSV;SBTB;;
SBSV;SBPB;;
SBSV;SBME;;
SBSV;SBNT;;
SBSV;SBJI;;
SBSV;SBCM;;
SBSV;SBAQ;;
SBSV;SBAE;;
SBSV;SWGN;;
SBFZ;SWEI;;
SBFZ;SBUA;;
SBFZ;SBTF;;
SBFZ;SBUF;;
SBFZ;SNTF;;
SBFZ;SBFZ;;
SBFZ;SBAX;;
SBFZ;SBBH;;
SBFZ;SBZM;;
SBFZ;SNPD;;
SBFZ;SBDB;;
SBFZ;SBDO;;
SBFZ;SBTG;;
SBFZ;SBIH;;
SBFZ;SBPB;;
SBFZ;SBME;;
SBFZ;SBNT;;
SBFZ;SBJI;;
SBFZ;SBCM;;
SBFZ;SBAQ;;
SBFZ;SBAE;;
SBBR;SWKO;;
SBBR;SWPI;;
SBBR;SBUA;;
SBBR;SBTF;;
SBBR;SBFE;;
SBBR;SBLE;;
SBBR;SBUF;;
SBBR;SNTF;;
SBBR;SBBR;;
SBBR;SBCI;;
SBBR;SBAX;;
SBBR;SBBH;;
SBBR;SNDV;;
SBBR;SBZM;;
SBBR;SNPD;;
SBBR;SBDB;;
SBBR;SBDO;;
SBBR;SBTG;;
SBBR;SBMD;;
SBBR;SBIH;;
SBBR;SBTB;;
SBBR;SDOW;;
SBBR;SNDC;;
SBBR;SBPB;;
SBBR;SBME;;
SBBR;SBNT;;
SBBR;SBJI;;
SBBR;SBCM;;
SBBR;SBAQ;;
SBBR;SBAE;;
SBBR;SWGN;;
SBVT;SWKO;;
SBVT;SWPI;;
SBVT;SBUA;;
SBVT;SBTF;;
SBVT;SBFE;;
SBVT;SBLE;;
SBVT;SBUF;;
SBVT;SNTF;;
SBVT;SBVT;;
SBVT;SBAX;;
SBVT;SBBH;;
SBVT;SBZM;;
SBVT;SNPD;;
SBVT;SBDB;;
SBVT;SBDO;;
SBVT;SBTG;;
SBVT;SBIH;;
SBVT;SBTB;;
SBVT;SBME;;
SBVT;SBNT;;
SBVT;SBJI;;
SBVT;SBCM;;
SBVT;SBAQ;;
SBVT;SBAE;;
SBCF;SWKO;;
SBCF;SWEI;;
SBCF;SWPI;;
SBCF;SBUA;;
SBCF;SBTF;;
SBCF;SBFE;;
SBCF;SBUF;;
SBCF;SNTF;;
SBCF;SBAX;;
SBCF;SBCF;;
SBCF;SBZM;;
SBCF;SNPD;;
SBCF;SBDB;;
SBCF;SBDO;;
SBCF;SBTG;;
